Column,Update Frequency
FOD_ID,Event Based
FPA_ID,Unknown
SOURCE_SYSTEM_TYPE,Event Based
SOURCE_SYSTEM,Event Based
NWCG_REPORTING_AGENCY,Administrative
NWCG_REPORTING_UNIT_ID,Administrative
NWCG_REPORTING_UNIT_NAME,Administrative
SOURCE_REPORTING_UNIT,Administrative
SOURCE_REPORTING_UNIT_NAME,Administrative
LOCAL_FIRE_REPORT_ID,Event Based
LOCAL_INCIDENT_ID,Unknown
FIRE_CODE,Event Based
FIRE_NAME,Event Based
ICS_209_PLUS_INCIDENT_JOIN_ID,Event Based
ICS_209_PLUS_COMPLEX_JOIN_ID,Event Based
MTBS_ID,Event Based
MTBS_FIRE_NAME,Event Based
COMPLEX_NAME,Event Based
FIRE_YEAR,Unknown
DISCOVERY_DATE,Event Based
DISCOVERY_DOY,Event Based
DISCOVERY_TIME,Event Based
NWCG_CAUSE_CLASSIFICATION,Daily
NWCG_GENERAL_CAUSE,Unknown
NWCG_CAUSE_AGE_CATEGORY,Event Based
CONT_DATE,Event Based
CONT_DOY,Event Based
CONT_TIME,Event Based
FIRE_SIZE,Unknown
FIRE_SIZE_CLASS,Unknown
LATITUDE,Static
LONGITUDE,Static
OWNER_DESCR,Administrative
STATE,Administrative
COUNTY,Administrative
FIPS_CODE,Administrative
FIPS_NAME,Administrative
LatLong_State,Administrative
LatLong_County,Administrative
NPL,Unknown
Mang_Type,Unknown
Mang_Name,Unknown
Des_Tp,Unknown
GAP_Sts,Unknown
GAP_Prity,Unknown
EVH,Unknown
EVT,Unknown
EVH_1km,Unknown
EVT_1km,Unknown
EVC,Unknown
EVC_1km,Unknown
NAME,Unknown
MOD_NDVI_12m,Monthly
MOD_EVI_12m,Monthly
Land_Cover,Static
Land_Cover_1km,Static
rpms,Unknown
rpms_1km,Unknown
Population,Static
Popo_1km,Static
GACCAbbrev,Administrative
GACC_PL,Administrative
GACC_New fire,Administrative
GACC_New LF,Administrative
GACC_Uncont LF,Administrative
GACC_Type 1 IMTs,Administrative
GACC_Type 2 IMTs,Administrative
GACC_NIMO Teams,Administrative
GACC_Area Command Teams,Administrative
GACC_Fire Use Teams,Administrative
GDP,Unknown
pr_Normal,Static
tmmn_Normal,Static
tmmx_Normal,Static
rmin_Normal,Static
rmax_Normal,Static
sph_Normal,Static
srad_Normal,Static
fm100_Normal,Daily
fm1000_Normal,Daily
bi_Normal,Daily
vpd_Normal,Static
erc_Normal,Daily
DF_PFS,Unknown
AF_PFS,Unknown
HDF_PFS,Unknown
DSF_PFS,Unknown
EBF_PFS,Unknown
EALR_PFS,Unknown
EBLR_PFS,Unknown
EPLR_PFS,Unknown
HBF_PFS,Unknown
LLEF_PFS,Unknown
LIF_PFS,Unknown
LMI_PFS,Unknown
MHVF_PFS,Unknown
PM25F_PFS,Unknown
HSEF,Unknown
P100_PFS,Unknown
P200_PFS,Unknown
LPF_PFS,Unknown
NPL_PFS,Unknown
RMP_PFS,Unknown
TSDF_PFS,Unknown
TPF,Unknown
TF_PFS,Unknown
UF_PFS,Unknown
WF_PFS,Unknown
M_WTR,Unknown
M_WKFC,Unknown
M_CLT,Unknown
M_ENY,Unknown
M_TRN,Unknown
M_HSG,Unknown
M_PLN,Unknown
M_HLTH,Unknown
SM_C,Unknown
SM_PFS,Unknown
EPLRLI,Unknown
EALRLI,Unknown
EBLRLI,Unknown
PM25LI,Unknown
EBLI,Unknown
DPMLI,Unknown
TPLI,Unknown
LPMHVLI,Unknown
HBLI,Unknown
RMPLI,Unknown
SFLI,Unknown
HWLI,Unknown
WDLI,Unknown
DLI,Unknown
ALI,Unknown
HDLI,Unknown
LLELI,Unknown
LILHSE,Unknown
PLHSE,Unknown
LMILHSE,Unknown
ULHSE,Unknown
EPL_ET,Unknown
EAL_ET,Unknown
EBL_ET,Unknown
EB_ET,Unknown
PM25_ET,Unknown
DS_ET,Unknown
TP_ET,Unknown
LPP_ET,Unknown
HB_ET,Unknown
RMP_ET,Unknown
NPL_ET,Unknown
TSDF_ET,Unknown
WD_ET,Unknown
DB_ET,Unknown
A_ET,Unknown
HD_ET,Unknown
LLE_ET,Unknown
UN_ET,Unknown
LISO_ET,Unknown
POV_ET,Unknown
LMI_ET,Unknown
IA_LMI_ET,Unknown
IA_UN_ET,Unknown
IA_POV_ET,Unknown
TC,Unknown
CC,Unknown
IAULHSE,Unknown
IAPLHSE,Unknown
IALMILHSE,Unknown
IALMIL_87,Unknown
IAPLHS_88,Unknown
IAULHS_89,Unknown
LHE,Unknown
IALHE,Unknown
IAHSEF,Unknown
CA,Unknown
NCA,Unknown
CA_LT20,Unknown
M_CLT_EOMI,Unknown
M_ENY_EOMI,Unknown
M_TRN_EOMI,Unknown
M_HSG_EOMI,Unknown
M_PLN_EOMI,Unknown
M_WTR_EOMI,Unknown
M_HLTH_102,Unknown
M_WKFC_103,Unknown
FPL200S,Unknown
M_WKFC_105,Unknown
M_EBSI,Unknown
UI_EXP,Unknown
THRHLD,Daily
No_FireStation_1.0km,Unknown
No_FireStation_5.0km,Unknown
No_FireStation_10.0km,Unknown
No_FireStation_20.0km,Unknown
FRG_1km,Unknown
FRG,Unknown
TRI_1km,Static
TRI,Static
Aspect_1km,Static
Elevation_1km,Static
Elevation,Static
Slope_1km,Static
Aspect,Static
Slope,Static
GHM,Unknown
TPI,Static
TPI_1km,Static
TRACT,Unknown
RPL_THEMES,Unknown
RPL_THEME1,Unknown
EPL_POV,Unknown
EPL_UNEMP,Unknown
EPL_PCI,Unknown
EPL_NOHSDP,Unknown
RPL_THEME2,Unknown
EPL_AGE65,Unknown
EPL_AGE17,Unknown
EPL_DISABL,Unknown
EPL_SNGPNT,Unknown
RPL_THEME3,Unknown
EPL_MINRTY,Unknown
EPL_LIMENG,Unknown
RPL_THEME4,Unknown
EPL_MUNIT,Administrative
EPL_MOBILE,Daily
EPL_CROWD,Unknown
EPL_NOVEH,Unknown
EPL_GROUPQ,Unknown
road_county_dis,Administrative
road_interstate_dis,Administrative
road_common_name_dis,Unknown
road_other_dis,Unknown
road_state_dis,Administrative
road_US_dis,Unknown
Ecoregion_US_L4CODE,Static
Ecoregion_US_L3CODE,Static
Ecoregion_NA_L3CODE,Static
Ecoregion_NA_L2CODE,Static
Ecoregion_NA_L1CODE,Static
SDI,Unknown
Annual_etr,Unknown
Annual_precipitation,Unknown
Annual_tempreture,Unknown
Aridity_index,Unknown
Evacuation,Unknown
pr,Unknown
tmmn,Unknown
tmmx,Unknown
rmin,Unknown
rmax,Unknown
sph,Unknown
vs,Unknown
th,Unknown
srad,Unknown
etr,Unknown
fm100,Daily
fm1000,Daily
bi,Daily
vpd,Unknown
erc,Daily
pr_5D_mean,Unknown
tmmn_5D_mean,Unknown
tmmx_5D_mean,Unknown
rmin_5D_mean,Unknown
rmax_5D_mean,Unknown
sph_5D_mean,Unknown
vs_5D_mean,Unknown
th_5D_mean,Unknown
srad_5D_mean,Unknown
etr_5D_mean,Unknown
fm100_5D_mean,Daily
fm1000_5D_mean,Daily
bi_5D_mean,Daily
vpd_5D_mean,Unknown
erc_5D_mean,Daily
pr_5D_min,Unknown
pr_5D_max,Unknown
tmmn_5D_max,Unknown
tmmx_5D_max,Unknown
rmin_5D_min,Unknown
rmax_5D_min,Unknown
sph_5D_min,Unknown
vs_5D_max,Unknown
th_5D_max,Unknown
srad_5D_max,Unknown
etr_5D_max,Unknown
fm100_5D_min,Daily
fm1000_5D_min,Daily
bi_5D_max,Daily
vpd_5D_max,Unknown
erc_5D_max,Daily
tmmn_Percentile,Daily
tmmx_Percentile,Daily
sph_Percentile,Daily
vs_Percentile,Daily
fm100_Percentile,Daily
bi_Percentile,Daily
vpd_Percentile,Daily
erc_Percentile,Daily
NDVI-1day,Monthly
NDVI_min,Monthly
NDVI_max,Monthly
NDVI_mean,Monthly
CheatGrass,Unknown
ExoticAnnualGrass,Daily
Medusahead,Unknown
PoaSecunda,Unknown
geometry,Static
source_year,Unknown
