Column Name,Category
FOD_ID,Fire Metadata
FPA_ID,Other
SOURCE_SYSTEM_TYPE,Fire Metadata
SOURCE_SYSTEM,Fire Metadata
NWCG_REPORTING_AGENCY,Fire Metadata
NWCG_REPORTING_UNIT_ID,Fire Metadata
NWCG_REPORTING_UNIT_NAME,Fire Metadata
SOURCE_REPORTING_UNIT,Administrative
SOURCE_REPORTING_UNIT_NAME,Administrative
LOCAL_FIRE_REPORT_ID,Fire Metadata
LOCAL_INCIDENT_ID,Other
FIRE_CODE,Fire Metadata
FIRE_NAME,Fire Metadata
ICS_209_PLUS_INCIDENT_JOIN_ID,Fire Metadata
ICS_209_PLUS_COMPLEX_JOIN_ID,Fire Metadata
MTBS_ID,Fire Metadata
MTBS_FIRE_NAME,Fire Metadata
COMPLEX_NAME,Fire Metadata
FIRE_YEAR,Fire Metadata
DISCOVERY_DATE,Fire Weather
DISCOVERY_DOY,Fire Weather
DISCOVERY_TIME,Fire Weather
NWCG_CAUSE_CLASSIFICATION,Fire Weather
NWCG_GENERAL_CAUSE,Cause
NWCG_CAUSE_AGE_CATEGORY,Cause
CONT_DATE,Fire Outcome
CONT_DOY,Fire Outcome
CONT_TIME,Fire Outcome
FIRE_SIZE,Fire Outcome
FIRE_SIZE_CLASS,Fire Outcome
LATITUDE,Geographic
LONGITUDE,Geographic
OWNER_DESCR,Fire Weather
STATE,Administrative
COUNTY,Administrative
FIPS_CODE,Administrative
FIPS_NAME,Administrative
LatLong_State,Administrative
LatLong_County,Administrative
NPL,Other
Mang_Type,Other
Mang_Name,Other
Des_Tp,Other
GAP_Sts,Other
GAP_Prity,Other
EVH,Other
EVT,Other
EVH_1km,Other
EVT_1km,Other
EVC,Other
EVC_1km,Other
NAME,Other
MOD_NDVI_12m,Vegetation Index
MOD_EVI_12m,Vegetation Index
Land_Cover,Vegetation
Land_Cover_1km,Vegetation
rpms,Other
rpms_1km,Other
Population,Population
Popo_1km,Population
GACCAbbrev,Administrative
GACC_PL,Administrative
GACC_New fire,Administrative
GACC_New LF,Administrative
GACC_Uncont LF,Administrative
GACC_Type 1 IMTs,Administrative
GACC_Type 2 IMTs,Administrative
GACC_NIMO Teams,Administrative
GACC_Area Command Teams,Administrative
GACC_Fire Use Teams,Administrative
GDP,Other
pr_Normal,Weather Normal
tmmn_Normal,Weather Normal
tmmx_Normal,Weather Normal
rmin_Normal,Weather Normal
rmax_Normal,Weather Normal
sph_Normal,Weather Normal
srad_Normal,Weather Normal
fm100_Normal,Fire Weather
fm1000_Normal,Fire Weather
bi_Normal,Fire Weather
vpd_Normal,Weather Normal
erc_Normal,Fire Weather
DF_PFS,Other
AF_PFS,Other
HDF_PFS,Other
DSF_PFS,Other
EBF_PFS,Other
EALR_PFS,Other
EBLR_PFS,Other
EPLR_PFS,Other
HBF_PFS,Other
LLEF_PFS,Other
LIF_PFS,Other
LMI_PFS,Other
MHVF_PFS,Other
PM25F_PFS,Other
HSEF,Other
P100_PFS,Other
P200_PFS,Other
LPF_PFS,Other
NPL_PFS,Other
RMP_PFS,Other
TSDF_PFS,Other
TPF,Other
TF_PFS,Other
UF_PFS,Other
WF_PFS,Other
M_WTR,Weather
M_WKFC,Other
M_CLT,Other
M_ENY,Other
M_TRN,Other
M_HSG,Other
M_PLN,Other
M_HLTH,Other
SM_C,Other
SM_PFS,Other
EPLRLI,Other
EALRLI,Other
EBLRLI,Other
PM25LI,Other
EBLI,Other
DPMLI,Other
TPLI,Other
LPMHVLI,Other
HBLI,Other
RMPLI,Other
SFLI,Other
HWLI,Other
WDLI,Other
DLI,Other
ALI,Other
HDLI,Other
LLELI,Other
LILHSE,Other
PLHSE,Other
LMILHSE,Other
ULHSE,Other
EPL_ET,Other
EAL_ET,Other
EBL_ET,Other
EB_ET,Other
PM25_ET,Other
DS_ET,Other
TP_ET,Other
LPP_ET,Other
HB_ET,Other
RMP_ET,Other
NPL_ET,Other
TSDF_ET,Other
WD_ET,Other
DB_ET,Other
A_ET,Other
HD_ET,Other
LLE_ET,Other
UN_ET,Other
LISO_ET,Other
POV_ET,Other
LMI_ET,Other
IA_LMI_ET,Other
IA_UN_ET,Other
IA_POV_ET,Other
TC,Other
CC,Other
IAULHSE,Other
IAPLHSE,Other
IALMILHSE,Other
IALMIL_87,Other
IAPLHS_88,Other
IAULHS_89,Other
LHE,Other
IALHE,Other
IAHSEF,Other
CA,Other
NCA,Other
CA_LT20,Other
M_CLT_EOMI,Other
M_ENY_EOMI,Other
M_TRN_EOMI,Other
M_HSG_EOMI,Other
M_PLN_EOMI,Other
M_WTR_EOMI,Weather
M_HLTH_102,Other
M_WKFC_103,Other
FPL200S,Other
M_WKFC_105,Other
M_EBSI,Other
UI_EXP,Other
THRHLD,Fire Weather
No_FireStation_1.0km,Fire Stations
No_FireStation_5.0km,Fire Stations
No_FireStation_10.0km,Fire Stations
No_FireStation_20.0km,Fire Stations
FRG_1km,Other
FRG,Other
TRI_1km,Terrain
TRI,Terrain
Aspect_1km,Terrain
Elevation_1km,Terrain
Elevation,Terrain
Slope_1km,Terrain
Aspect,Terrain
Slope,Terrain
GHM,Other
TPI,Terrain
TPI_1km,Terrain
TRACT,Other
RPL_THEMES,Other
RPL_THEME1,Other
EPL_POV,Other
EPL_UNEMP,Other
EPL_PCI,Other
EPL_NOHSDP,Other
RPL_THEME2,Other
EPL_AGE65,Other
EPL_AGE17,Other
EPL_DISABL,Other
EPL_SNGPNT,Other
RPL_THEME3,Other
EPL_MINRTY,Other
EPL_LIMENG,Other
RPL_THEME4,Other
EPL_MUNIT,Administrative
EPL_MOBILE,Fire Weather
EPL_CROWD,Other
EPL_NOVEH,Other
EPL_GROUPQ,Other
road_county_dis,Infrastructure
road_interstate_dis,Infrastructure
road_common_name_dis,Infrastructure
road_other_dis,Infrastructure
road_state_dis,Infrastructure
road_US_dis,Infrastructure
Ecoregion_US_L4CODE,Geographic
Ecoregion_US_L3CODE,Geographic
Ecoregion_NA_L3CODE,Geographic
Ecoregion_NA_L2CODE,Geographic
Ecoregion_NA_L1CODE,Geographic
SDI,Other
Annual_etr,Other
Annual_precipitation,Weather
Annual_tempreture,Weather
Aridity_index,Climate
Evacuation,Other
pr,Other
tmmn,Other
tmmx,Other
rmin,Other
rmax,Other
sph,Other
vs,Other
th,Other
srad,Other
etr,Other
fm100,Fire Weather
fm1000,Fire Weather
bi,Fire Weather
vpd,Other
erc,Fire Weather
pr_5D_mean,Other
tmmn_5D_mean,Other
tmmx_5D_mean,Other
rmin_5D_mean,Other
rmax_5D_mean,Other
sph_5D_mean,Other
vs_5D_mean,Other
th_5D_mean,Other
srad_5D_mean,Other
etr_5D_mean,Other
fm100_5D_mean,Fire Weather
fm1000_5D_mean,Fire Weather
bi_5D_mean,Fire Weather
vpd_5D_mean,Other
erc_5D_mean,Fire Weather
pr_5D_min,Other
pr_5D_max,Other
tmmn_5D_max,Other
tmmx_5D_max,Other
rmin_5D_min,Other
rmax_5D_min,Other
sph_5D_min,Other
vs_5D_max,Other
th_5D_max,Other
srad_5D_max,Other
etr_5D_max,Other
fm100_5D_min,Fire Weather
fm1000_5D_min,Fire Weather
bi_5D_max,Fire Weather
vpd_5D_max,Other
erc_5D_max,Fire Weather
tmmn_Percentile,Fire Weather
tmmx_Percentile,Fire Weather
sph_Percentile,Fire Weather
vs_Percentile,Fire Weather
fm100_Percentile,Fire Weather
bi_Percentile,Fire Weather
vpd_Percentile,Fire Weather
erc_Percentile,Fire Weather
NDVI-1day,Vegetation Index
NDVI_min,Vegetation Index
NDVI_max,Vegetation Index
NDVI_mean,Vegetation Index
CheatGrass,Vegetation
ExoticAnnualGrass,Fire Weather
Medusahead,Vegetation
PoaSecunda,Vegetation
geometry,Geographic
source_year,Temporal
