Column,Source_System,API_URL,Spatial_Res,Temporal_Res,Update_Frequency,Update_Category,Availability_Label,Missing_%,Missing_Root_Cause,Missing_Treatment,Gate1_Status,Gate2_Status
AF_PFS,CDC Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,Census tract,Static (ACS 5-year),5 years,ANNUAL,PRE_FIRE_STATIC,0.0764,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
ALI,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
A_ET,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
Annual_etr,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
Annual_precipitation,NOAA CPC / TerraClimate,https://www.climatologylab.org/terraclimate.html,0.5° / 4 km,Monthly,Monthly,MONTHLY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
Annual_tempreture,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
Aridity_index,NOAA CPC / TerraClimate,https://www.climatologylab.org/terraclimate.html,0.5° / 4 km,Monthly,Monthly,MONTHLY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
Aspect,USGS 3DEP / SRTM,https://elevation.nationalmap.gov/arcgis/rest/services/,30 m → 1 km aggregate,Static,Static,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
Aspect_1km,USGS 3DEP / SRTM,https://elevation.nationalmap.gov/arcgis/rest/services/,30 m → 1 km aggregate,Static,Static,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
CA,NLDAS / TerraClimate (Water Budget),https://ldas.gsfc.nasa.gov/nldas/,4 km / 0.125°,Monthly,Monthly,MONTHLY,PRE_FIRE_DYNAMIC,0.049,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
CA_LT20,NLDAS / TerraClimate (Water Budget),https://ldas.gsfc.nasa.gov/nldas/,4 km / 0.125°,Monthly,Monthly,MONTHLY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
CC,NLDAS / TerraClimate (Water Budget),https://ldas.gsfc.nasa.gov/nldas/,4 km / 0.125°,Monthly,Monthly,MONTHLY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
COUNTY,FPA-FOD v6 (Administrative/Temporal),https://www.fs.usda.gov/rds/archive/catalog/RDS-2013-0009,Point record,Event-based,Event-based,EVENT_BASED,PRE_FIRE_DYNAMIC,0.5114,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
DB_ET,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
DF_PFS,CDC Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,Census tract,Static (ACS 5-year),5 years,ANNUAL,PRE_FIRE_STATIC,0.0764,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
DLI,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
DPMLI,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
DSF_PFS,CDC Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,Census tract,Static (ACS 5-year),5 years,ANNUAL,PRE_FIRE_STATIC,0.0333,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
DS_ET,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
Des_Tp,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EALRLI,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EALR_PFS,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EAL_ET,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EBF_PFS,CDC Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,Census tract,Static (ACS 5-year),5 years,ANNUAL,PRE_FIRE_STATIC,0.096,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EBLI,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EBLRLI,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EBLR_PFS,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0059,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EBL_ET,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EB_ET,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EPLRLI,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EPLR_PFS,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0333,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EPL_ET,CDC Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,Census tract,Static (ACS 5-year),5 years,STATIC,PRE_FIRE_STATIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
EVC_1km,LANDFIRE,https://www.landfire.gov/viewer/,30 m → 1 km aggregate in FPA-FOD,~2-year release cycle,~2 years,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
EVH,LANDFIRE,https://www.landfire.gov/viewer/,30 m → 1 km aggregate in FPA-FOD,~2-year release cycle,~2 years,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
EVH_1km,LANDFIRE,https://www.landfire.gov/viewer/,30 m → 1 km aggregate in FPA-FOD,~2-year release cycle,~2 years,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
EVT,LANDFIRE,https://www.landfire.gov/viewer/,30 m → 1 km aggregate in FPA-FOD,~2-year release cycle,~2 years,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
EVT_1km,LANDFIRE,https://www.landfire.gov/viewer/,30 m → 1 km aggregate in FPA-FOD,~2-year release cycle,~2 years,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
Ecoregion_NA_L2CODE,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.0196,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
Ecoregion_NA_L3CODE,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.0196,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
Ecoregion_US_L3CODE,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.0196,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
Ecoregion_US_L4CODE,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.0196,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
Elevation,USGS 3DEP / SRTM,https://elevation.nationalmap.gov/arcgis/rest/services/,30 m → 1 km aggregate,Static,Static,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
Evacuation,FPA-FOD v6 (Post-fire outcome — LEAKAGE),N/A — post-fire only,,Post-fire,Event-based,EVENT_BASED,POST_FIRE,98.4971,event_conditional,"BINARY_FLAG or EXCLUDE — missing means 'small fire', informative",RETAINED,RETAINED
ExoticAnnualGrass,Rangeland Analysis Platform (RAP),https://rangelands.app/products/,30 m,Annual,Annual,STATIC,PRE_FIRE_STATIC,33.0022,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
FIPS_CODE,FPA-FOD v6 (Administrative/Temporal),https://www.fs.usda.gov/rds/archive/catalog/RDS-2013-0009,Point record,Event-based,Event-based,EVENT_BASED,PRE_FIRE_DYNAMIC,0.5114,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
FIRE_YEAR,FPA-FOD v6 (Administrative/Temporal),https://www.fs.usda.gov/rds/archive/catalog/RDS-2013-0009,Point record,Event-based,Event-based,EVENT_BASED,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
FPL200S,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
FRG,LANDFIRE,https://www.landfire.gov/viewer/,30 m → 1 km aggregate in FPA-FOD,~2-year release cycle,~2 years,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
FRG_1km,LANDFIRE,https://www.landfire.gov/viewer/,30 m → 1 km aggregate in FPA-FOD,~2-year release cycle,~2 years,STATIC,PRE_FIRE_STATIC,0.0,none,none,RETAINED,RETAINED
GACCAbbrev,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.3625,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
GACC_Area Command Teams,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.3625,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
GACC_Fire Use Teams,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,POST_FIRE,100.0,event_conditional,"BINARY_FLAG or EXCLUDE — missing means 'small fire', informative",RETAINED,RETAINED
GACC_NIMO Teams,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.3625,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
GACC_New LF,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.3625,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
GACC_New fire,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.3625,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
GACC_PL,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.3625,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
GACC_Type 1 IMTs,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.3625,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
GACC_Type 2 IMTs,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.3625,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
GACC_Uncont LF,EPA Level-3 Ecoregions / NIFC GACC,https://www.epa.gov/eco-research/ecoregions,Vector polygon,Static,Static,STATIC,PRE_FIRE_STATIC,0.3625,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
GAP_Prity,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
GAP_Sts,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
GDP,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0216,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
GHM,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
HBF_PFS,CDC Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,Census tract,Static (ACS 5-year),5 years,ANNUAL,PRE_FIRE_STATIC,0.1274,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
HBLI,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
HB_ET,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
HDF_PFS,CDC Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,Census tract,Static (ACS 5-year),5 years,ANNUAL,PRE_FIRE_STATIC,0.0764,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
HDLI,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
HD_ET,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
HSEF,UNKNOWN,UNKNOWN — requires manual investigation,UNKNOWN,UNKNOWN,UNKNOWN,DAILY,PRE_FIRE_DYNAMIC,0.0705,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
HWLI,EPA EJScreen,https://www.epa.gov/ejscreen/download-ejscreen-data,Census block group,Static,Annual,ANNUAL,PRE_FIRE_STATIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
IAHSEF,EPA EJScreen,https://www.epa.gov/ejscreen/download-ejscreen-data,Census block group,Static,Annual,ANNUAL,PRE_FIRE_STATIC,100.0,event_conditional,"BINARY_FLAG or EXCLUDE — missing means 'small fire', informative",RETAINED,RETAINED
IALHE,EPA EJScreen,https://www.epa.gov/ejscreen/download-ejscreen-data,Census block group,Static,Annual,ANNUAL,PRE_FIRE_STATIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
IALMILHSE,EPA EJScreen,https://www.epa.gov/ejscreen/download-ejscreen-data,Census block group,Static,Annual,ANNUAL,PRE_FIRE_STATIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
IALMIL_87,EPA EJScreen,https://www.epa.gov/ejscreen/download-ejscreen-data,Census block group,Static,Annual,ANNUAL,PRE_FIRE_STATIC,100.0,event_conditional,"BINARY_FLAG or EXCLUDE — missing means 'small fire', informative",RETAINED,RETAINED
IAPLHSE,EPA EJScreen,https://www.epa.gov/ejscreen/download-ejscreen-data,Census block group,Static,Annual,ANNUAL,PRE_FIRE_STATIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
IAPLHS_88,EPA EJScreen,https://www.epa.gov/ejscreen/download-ejscreen-data,Census block group,Static,Annual,ANNUAL,PRE_FIRE_STATIC,100.0,event_conditional,"BINARY_FLAG or EXCLUDE — missing means 'small fire', informative",RETAINED,RETAINED
IAULHSE,EPA EJScreen,https://www.epa.gov/ejscreen/download-ejscreen-data,Census block group,Static,Annual,ANNUAL,PRE_FIRE_STATIC,0.0039,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
